Date,index,FX,GDP,CPI,RFR,UR,BOP,GFCF
07/06/07,31184.49023,10.956,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
08/06/07,31466.59961,10.932,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
11/06/07,31833.43945,10.9195,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
12/06/07,31608.58984,10.993,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
13/06/07,31884.06055,10.9174,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
14/06/07,32114.08984,10.869,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
15/06/07,32128.9707,10.805,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
18/06/07,32218.16992,10.7778,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
19/06/07,32064.99023,10.7335,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
20/06/07,31550.75977,10.8428,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
21/06/07,31830.83984,10.797,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
22/06/07,31642.25977,10.792,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
25/06/07,31296.00977,10.841,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
26/06/07,30744.71094,10.849,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
27/06/07,30804.21094,10.8145,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
28/06/07,31079.24023,10.798,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
29/06/07,31151.05078,10.785,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
02/07/07,31420.68945,10.756,0.62894088,12.41749,8,3.797376,-0.4168993,5.580191168
03/07/07,32117.83008,10.7658,0.62894088,12.41749,8,3.797376,-0.4168993,5.580191168
04/07/07,32201.63086,10.748,0.62894088,12.41749,8,3.797376,-0.4168993,5.580191168
05/07/07,32177.83008,10.79,0.62894088,12.41749,8,3.797376,-0.4168993,5.580191168
06/07/07,32411.83984,10.776,0.62894088,12.41749,8,3.797376,-0.4168993,5.580191168
09/07/07,32088.25,10.7555,0.62894088,12.41749,8,3.797376,-0.4168993,5.580191168
10/07/07,31743.01953,10.8518,0.62894088,12.41749,8,3.797376,-0.4168993,5.580191168
11/07/07,31916.26953,10.7995,0.62894088,12.41749,8,3.797376,-0.4168993,5.580191168
